descriptor_ui,replication_count,nodes
D000552,5,"node_10,node_2,node_5,node_7,node_8"
D000553,5,"node_1,node_2,node_5,node_7,node_8"
D000554,3,"node_6,node_7,node_8"
D000555,3,"node_5,node_7,node_8"
D000556,3,"node_1,node_10,node_5"
D000557,3,"node_10,node_5,node_6"
D000558,3,"node_10,node_5,node_6"
D000559,3,"node_10,node_5,node_6"
D000560,4,"node_1,node_2,node_7,node_8"
D000561,4,"node_1,node_2,node_7,node_8"
D000562,3,"node_1,node_10,node_5"
D000563,3,"node_2,node_6,node_7"
D000564,3,"node_1,node_10,node_5"
D000565,3,"node_1,node_7,node_8"
D000566,3,"node_1,node_6,node_8"
D000567,5,"node_1,node_10,node_2,node_5,node_8"
D000568,3,"node_1,node_2,node_8"
D000569,3,"node_2,node_5,node_7"
D000570,3,"node_10,node_5,node_7"
D000571,3,"node_10,node_5,node_7"
D000572,3,"node_10,node_5,node_7"
D000573,3,"node_10,node_5,node_7"
D000574,3,"node_10,node_5,node_7"
D000575,3,"node_10,node_5,node_7"
D000576,4,"node_2,node_5,node_6,node_7"
D000577,3,"node_2,node_7,node_8"
D000578,3,"node_2,node_7,node_8"
D000579,3,"node_2,node_5,node_7"
D000580,5,"node_1,node_10,node_2,node_6,node_8"
D000581,3,"node_2,node_5,node_7"
D000582,3,"node_2,node_5,node_7"
D000583,3,"node_2,node_5,node_8"
D000584,3,"node_10,node_2,node_8"
D000585,3,"node_1,node_2,node_8"
D000586,4,"node_1,node_6,node_7,node_8"
D000587,3,"node_2,node_5,node_7"
D000588,3,"node_2,node_5,node_8"
D000590,3,"node_2,node_6,node_7"
D000591,3,"node_2,node_5,node_7"
D000592,3,"node_1,node_10,node_6"
D000594,3,"node_2,node_5,node_7"
D000595,4,"node_1,node_5,node_7,node_8"
D000596,3,"node_2,node_6,node_7"
D000597,3,"node_2,node_6,node_7"
D000598,3,"node_2,node_6,node_7"
D000599,3,"node_2,node_6,node_7"
D000600,3,"node_2,node_6,node_7"
D000601,3,"node_2,node_6,node_7"
D000602,3,"node_10,node_2,node_6"
D000603,5,"node_1,node_2,node_6,node_7,node_8"
D000604,3,"node_2,node_5,node_7"
D000605,3,"node_2,node_5,node_8"
D000606,3,"node_2,node_5,node_8"
D000607,3,"node_10,node_2,node_8"
D000608,6,"node_1,node_10,node_2,node_6,node_7,node_8"
D000609,3,"node_1,node_2,node_8"
D000611,3,"node_10,node_2,node_8"
D000612,3,"node_2,node_5,node_7"
D000613,4,"node_2,node_6,node_7,node_8"
D000614,4,"node_2,node_6,node_7,node_8"
D000615,3,"node_2,node_5,node_8"
D000616,3,"node_10,node_2,node_8"
D000617,3,"node_2,node_5,node_8"
D000618,4,"node_10,node_2,node_7,node_8"
D000619,3,"node_2,node_5,node_7"
D000620,3,"node_10,node_2,node_8"
D000621,4,"node_2,node_6,node_7,node_8"
D000622,4,"node_2,node_6,node_7,node_8"
D000623,3,"node_2,node_5,node_7"
D000624,3,"node_2,node_5,node_7"
D000625,4,"node_2,node_5,node_7,node_8"
D000626,3,"node_2,node_5,node_7"
D000627,4,"node_10,node_2,node_5,node_8"
D000628,6,"node_1,node_2,node_5,node_6,node_7,node_8"
D000629,3,"node_10,node_2,node_8"
D000630,3,"node_1,node_2,node_8"
D000631,4,"node_10,node_2,node_5,node_8"
D000632,3,"node_10,node_2,node_8"
D000633,3,"node_2,node_5,node_7"
D000634,3,"node_1,node_2,node_8"
D000635,3,"node_10,node_2,node_8"
D000636,4,"node_10,node_2,node_7,node_8"
D000637,3,"node_2,node_5,node_7"
D000638,3,"node_1,node_2,node_8"
D000639,5,"node_1,node_10,node_2,node_6,node_8"
D000640,3,"node_10,node_2,node_8"
D000641,4,"node_2,node_5,node_6,node_7"
