fragment_1,fragment_2,overlap_size,node_1,node_2,same_node
top_category_A,subbranch_code_A07.541,30,node_1,node_6,False
top_category_A,subbranch_code_A08,1,node_1,node_7,False
top_category_A,subbranch_code_A08.186,217,node_1,node_8,False
top_category_A,subbranch_code_A08.340,14,node_1,node_9,False
top_category_A,subbranch_code_A08.511,2,node_1,node_10,False
top_category_A,subbranch_code_A08.612,16,node_1,node_1,True
top_category_A,subbranch_code_A08.637,13,node_1,node_2,False
top_category_A,subbranch_code_A08.675,90,node_1,node_3,False
top_category_A,subbranch_code_A08.713,22,node_1,node_4,False
top_category_A,subbranch_code_A08.800,116,node_1,node_5,False
top_category_A,subbranch_code_A08.850,10,node_1,node_6,False
top_category_A,subbranch_code_A09,1,node_1,node_7,False
top_category_A,subbranch_code_A09.246,46,node_1,node_8,False
top_category_A,subbranch_code_A09.371,60,node_1,node_9,False
top_category_A,subbranch_code_A09.531,4,node_1,node_10,False
top_category_A,subbranch_code_A09.846,1,node_1,node_1,True
top_category_A,subbranch_code_A09.923,15,node_1,node_2,False
top_category_A,subbranch_code_A10,1,node_1,node_3,False
top_category_A,subbranch_code_A10.082,3,node_1,node_4,False
top_category_A,subbranch_code_A10.165,59,node_1,node_5,False
top_category_A,subbranch_code_A10.272,12,node_1,node_6,False
top_category_A,subbranch_code_A10.336,20,node_1,node_7,False
top_category_A,subbranch_code_A10.549,12,node_1,node_8,False
top_category_A,subbranch_code_A10.615,38,node_1,node_9,False
top_category_A,subbranch_code_A10.690,17,node_1,node_10,False
top_category_A,subbranch_code_A10.755,5,node_1,node_1,True
top_category_A,subbranch_code_A10.802,2,node_1,node_2,False
top_category_A,subbranch_code_A10.806,1,node_1,node_3,False
top_category_A,subbranch_code_A10.810,1,node_1,node_4,False
top_category_A,subbranch_code_A10.830,1,node_1,node_5,False
top_category_A,subbranch_code_A10.850,10,node_1,node_6,False
top_category_A,subbranch_code_A11,1,node_1,node_7,False
top_category_A,subbranch_code_A11.031,1,node_1,node_8,False
top_category_A,subbranch_code_A11.047,1,node_1,node_9,False
top_category_A,subbranch_code_A11.063,6,node_1,node_10,False
top_category_A,subbranch_code_A11.066,4,node_1,node_1,True
