descriptor_ui,replication_count,nodes
D000371,4,"node_10,node_2,node_4,node_7"
D000372,6,"node_10,node_2,node_5,node_6,node_7,node_9"
D000373,3,"node_1,node_10,node_4"
D000374,3,"node_1,node_6,node_9"
D000375,2,"node_7,node_9"
D000376,3,"node_4,node_7,node_9"
D000377,6,"node_10,node_2,node_3,node_4,node_6,node_9"
D000378,3,"node_1,node_6,node_9"
D000379,3,"node_1,node_2,node_6"
D000380,2,"node_3,node_4"
D000381,6,"node_1,node_10,node_2,node_3,node_4,node_6"
D000382,2,"node_3,node_5"
D000383,3,"node_10,node_5,node_9"
D000385,3,"node_2,node_3,node_4"
D000386,5,"node_10,node_2,node_3,node_5,node_9"
D000387,3,"node_1,node_3,node_5"
D000388,5,"node_4,node_5,node_6,node_7,node_8"
D000389,3,"node_4,node_5,node_6"
D000390,5,"node_4,node_5,node_6,node_7,node_8"
D000391,4,"node_10,node_4,node_6,node_8"
D000392,5,"node_4,node_5,node_6,node_7,node_8"
D000393,3,"node_1,node_2,node_4"
D000395,3,"node_1,node_2,node_4"
D000396,5,"node_1,node_2,node_4,node_6,node_7"
D000397,2,"node_4,node_6"
D000398,2,"node_4,node_6"
D000399,5,"node_4,node_5,node_6,node_7,node_8"
D000400,3,"node_1,node_6,node_9"
D000401,3,"node_10,node_3,node_5"
D000402,3,"node_3,node_7,node_8"
D000403,5,"node_1,node_10,node_2,node_5,node_7"
D000404,4,"node_4,node_5,node_8,node_9"
D000405,3,"node_10,node_3,node_5"
D000406,4,"node_1,node_2,node_3,node_8"
D000407,3,"node_1,node_5,node_6"
D000408,3,"node_4,node_5,node_9"
D000409,3,"node_3,node_4,node_5"
D000410,3,"node_1,node_2,node_4"
D000411,3,"node_1,node_2,node_4"
D000412,3,"node_1,node_2,node_4"
D000413,3,"node_1,node_5,node_6"
D000415,3,"node_1,node_10,node_6"
D000416,3,"node_1,node_5,node_6"
D000417,8,"node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8"
D000418,2,"node_4,node_5"
D000419,5,"node_10,node_2,node_3,node_5,node_8"
D000420,4,"node_10,node_4,node_6,node_7"
D000421,3,"node_10,node_2,node_5"
D000422,3,"node_1,node_4,node_8"
D000423,3,"node_4,node_8,node_9"
D000425,7,"node_1,node_10,node_3,node_4,node_6,node_8,node_9"
D000426,3,"node_1,node_2,node_4"
D000427,3,"node_1,node_10,node_4"
D000428,3,"node_1,node_6,node_9"
D000429,3,"node_1,node_2,node_4"
D000430,7,"node_1,node_10,node_3,node_4,node_6,node_8,node_9"
D000431,3,"node_4,node_6,node_7"
D000432,3,"node_4,node_6,node_7"
D000433,3,"node_4,node_6,node_7"
D000434,6,"node_10,node_4,node_5,node_6,node_7,node_9"
D000435,6,"node_1,node_10,node_3,node_4,node_6,node_8"
D000436,2,"node_3,node_4"
D000437,6,"node_1,node_10,node_3,node_4,node_6,node_8"
D000438,3,"node_4,node_6,node_7"
D000439,4,"node_10,node_4,node_6,node_7"
D000440,4,"node_10,node_4,node_6,node_7"
D000441,4,"node_10,node_4,node_6,node_7"
D000442,4,"node_10,node_4,node_6,node_7"
D000443,7,"node_10,node_2,node_4,node_5,node_7,node_8,node_9"
D000444,3,"node_1,node_2,node_4"
D000445,3,"node_1,node_2,node_4"
D000446,3,"node_1,node_2,node_4"
D000447,2,"node_4,node_7"
D000448,3,"node_4,node_7,node_9"
D000449,3,"node_1,node_2,node_4"
D000450,5,"node_1,node_3,node_4,node_6,node_9"
D000451,4,"node_1,node_10,node_4,node_5"
D000452,3,"node_4,node_7,node_8"
D000453,6,"node_1,node_10,node_3,node_5,node_6,node_9"
D000454,3,"node_1,node_2,node_3"
D000455,3,"node_2,node_4,node_8"
D000458,3,"node_10,node_2,node_8"
D000459,3,"node_2,node_3,node_8"
D000460,3,"node_2,node_4,node_8"
D000461,2,"node_2,node_8"
D000462,3,"node_1,node_4,node_6"
D000463,3,"node_3,node_4,node_9"
D000464,3,"node_10,node_3,node_4"
D000465,4,"node_2,node_3,node_7,node_9"
D000466,3,"node_4,node_7,node_8"
D000468,3,"node_4,node_6,node_7"
D000469,3,"node_1,node_2,node_4"
D000470,3,"node_4,node_5,node_8"
D000471,3,"node_3,node_4,node_7"
D000472,4,"node_3,node_4,node_7,node_8"
D000473,3,"node_4,node_7,node_8"
D000474,5,"node_3,node_4,node_5,node_7,node_8"
D000475,3,"node_4,node_7,node_8"
D000476,4,"node_10,node_4,node_7,node_8"
D000477,4,"node_1,node_10,node_2,node_4"
D000478,6,"node_1,node_10,node_3,node_4,node_5,node_7"
D000479,3,"node_3,node_4,node_7"
D000480,3,"node_4,node_7,node_8"
D000481,3,"node_4,node_7,node_8"
D000482,4,"node_1,node_2,node_6,node_9"
D000483,2,"node_6,node_7"
D000485,2,"node_4,node_8"
D000486,3,"node_1,node_7,node_8"
D000487,3,"node_4,node_7,node_8"
D000488,5,"node_10,node_2,node_3,node_4,node_6"
D000489,2,"node_2,node_8"
D000490,3,"node_2,node_4,node_8"
D000492,3,"node_1,node_2,node_4"
D000493,3,"node_4,node_8,node_9"
D000494,3,"node_10,node_4,node_7"
D000495,3,"node_10,node_4,node_7"
D000496,3,"node_4,node_7,node_8"
D000497,7,"node_10,node_2,node_4,node_5,node_6,node_7,node_9"
D000498,3,"node_4,node_7,node_8"
D000499,4,"node_10,node_4,node_7,node_8"
D000500,3,"node_3,node_4,node_9"
D000501,5,"node_3,node_4,node_5,node_7,node_8"
D000502,4,"node_4,node_7,node_8,node_9"
D000503,3,"node_2,node_8,node_9"
D000504,3,"node_2,node_4,node_8"
D000505,4,"node_1,node_2,node_3,node_6"
D000506,3,"node_2,node_3,node_6"
D000507,4,"node_1,node_2,node_3,node_6"
D000508,2,"node_2,node_8"
D000509,4,"node_4,node_5,node_6,node_8"
D000510,2,"node_4,node_5"
D000511,2,"node_4,node_5"
D000512,3,"node_10,node_3,node_7"
D000513,7,"node_10,node_2,node_3,node_5,node_6,node_7,node_9"
D000514,4,"node_3,node_4,node_5,node_7"
D000515,4,"node_3,node_4,node_5,node_7"
D000516,3,"node_1,node_2,node_4"
D000517,3,"node_4,node_6,node_7"
D000518,3,"node_3,node_4,node_5"
