fragment_1,scheme_1,value_1,fragment_2,scheme_2,value_2,overlap_size,overlap_descriptor_ids
branch_code_A10,branch_code,A10,subbranch_code_C17.800,subbranch_code,C17.800,1,D000153
branch_code_A11,branch_code,A11,subbranch_code_A05.360,subbranch_code,A05.360,1,D000177
branch_code_A11,branch_code,A11,subbranch_code_A11.118,subbranch_code,A11.118,1,D000050
branch_code_A11,branch_code,A11,subbranch_code_A11.284,subbranch_code,A11.284,1,D000177
branch_code_A11,branch_code,A11,subbranch_code_A11.443,subbranch_code,A11.443,1,D000050
branch_code_A11,branch_code,A11,subbranch_code_A11.497,subbranch_code,A11.497,1,D000177
branch_code_A11,branch_code,A11,subbranch_code_A15.145,subbranch_code,A15.145,1,D000050
branch_code_A13,branch_code,A13,subbranch_code_A13.869,subbranch_code,A13.869,1,D000018
branch_code_A14,branch_code,A14,subbranch_code_A04.623,subbranch_code,A04.623,1,D000234
branch_code_A14,branch_code,A14,subbranch_code_A10.549,subbranch_code,A10.549,1,D000234
branch_code_A14,branch_code,A14,subbranch_code_A14.724,subbranch_code,A14.724,1,D000234
branch_code_A14,branch_code,A14,subbranch_code_A15.382,subbranch_code,A15.382,1,D000234
branch_code_A15,branch_code,A15,subbranch_code_A04.623,subbranch_code,A04.623,1,D000234
branch_code_A15,branch_code,A15,subbranch_code_A10.549,subbranch_code,A10.549,1,D000234
branch_code_A15,branch_code,A15,subbranch_code_A11.118,subbranch_code,A11.118,1,D000050
branch_code_A15,branch_code,A15,subbranch_code_A11.443,subbranch_code,A11.443,1,D000050
branch_code_A15,branch_code,A15,subbranch_code_A14.724,subbranch_code,A14.724,1,D000234
branch_code_A15,branch_code,A15,subbranch_code_A15.145,subbranch_code,A15.145,1,D000050
branch_code_A15,branch_code,A15,subbranch_code_A15.382,subbranch_code,A15.382,1,D000234
branch_code_B01,branch_code,B01,subbranch_code_B01.046,subbranch_code,B01.046,1,D000048
branch_code_B01,branch_code,B01,subbranch_code_B01.050,subbranch_code,B01.050,2,"D000049,D000053"
branch_code_B01,branch_code,B01,subbranch_code_B01.300,subbranch_code,B01.300,1,D000164
branch_code_B01,branch_code,B01,subbranch_code_B01.875,subbranch_code,B01.875,2,"D000045,D000076"
branch_code_B03,branch_code,B03,subbranch_code_B03.440,subbranch_code,B03.440,6,"D000091,D000127,D000128,D000129,D000150,D000188"
branch_code_B03,branch_code,B03,subbranch_code_B03.510,subbranch_code,B03.510,3,"D000190,D000191,D000192"
branch_code_B03,branch_code,B03,subbranch_code_B03.660,subbranch_code,B03.660,3,"D000091,D000150,D000188"
branch_code_B04,branch_code,B04,subbranch_code_B04.280,subbranch_code,B04.280,5,"D000229,D000256,D000259,D000260,D000261"
branch_code_B04,branch_code,B04,subbranch_code_B04.613,subbranch_code,B04.613,1,D000011
branch_code_B04,branch_code,B04,subbranch_code_B04.820,subbranch_code,B04.820,1,D000011
branch_code_C01,branch_code,C01,subbranch_code_C01.150,subbranch_code,C01.150,6,"D000151,D000187,D000189,D000193,D000196,D000197"
branch_code_C01,branch_code,C01,subbranch_code_C01.221,subbranch_code,C01.221,1,D000163
branch_code_C01,branch_code,C01,subbranch_code_C01.635,subbranch_code,C01.635,1,D000292
branch_code_C01,branch_code,C01,subbranch_code_C01.674,subbranch_code,C01.674,1,D000031
branch_code_C01,branch_code,C01,subbranch_code_C01.748,subbranch_code,C01.748,1,D000039
branch_code_C01,branch_code,C01,subbranch_code_C01.778,subbranch_code,C01.778,1,D000163
branch_code_C01,branch_code,C01,subbranch_code_C01.800,subbranch_code,C01.800,1,D000197
branch_code_C01,branch_code,C01,subbranch_code_C01.830,subbranch_code,C01.830,2,"D000038,D000039"
branch_code_C01,branch_code,C01,subbranch_code_C01.925,subbranch_code,C01.925,3,"D000163,D000257,D000258"
branch_code_C01,branch_code,C01,subbranch_code_C07.550,subbranch_code,C07.550,1,D000039
branch_code_C01,branch_code,C01,subbranch_code_C08.730,subbranch_code,C08.730,1,D000039
branch_code_C01,branch_code,C01,subbranch_code_C09.775,subbranch_code,C09.775,1,D000039
branch_code_C01,branch_code,C01,subbranch_code_C12.050,subbranch_code,C12.050,2,"D000031,D000292"
branch_code_C01,branch_code,C01,subbranch_code_C12.100,subbranch_code,C12.100,2,"D000163,D000292"
branch_code_C01,branch_code,C01,subbranch_code_C17.800,subbranch_code,C17.800,1,D000197
branch_code_C01,branch_code,C01,subbranch_code_C20.673,subbranch_code,C20.673,1,D000163
branch_code_C01,branch_code,C01,subbranch_code_C22.039,subbranch_code,C22.039,1,D000187
branch_code_C01,branch_code,C01,subbranch_code_C23.550,subbranch_code,C23.550,1,D000038
branch_code_C04,branch_code,C04,subbranch_code_C04.557,subbranch_code,C04.557,9,"D000230,D000231,D000232,D000235,D000236,D000237,D000238,D000239,D000314"
branch_code_C04,branch_code,C04,subbranch_code_C04.588,subbranch_code,C04.588,3,"D000008,D000306,D000310"
branch_code_C04,branch_code,C04,subbranch_code_C04.730,subbranch_code,C04.730,1,D000182
branch_code_C04,branch_code,C04,subbranch_code_C19.053,subbranch_code,C19.053,2,"D000306,D000310"
branch_code_C04,branch_code,C04,subbranch_code_C19.344,subbranch_code,C19.344,2,"D000306,D000310"
branch_code_C05,branch_code,C05,subbranch_code_C05.116,subbranch_code,C05.116,3,"D000130,D000168,D000172"
branch_code_C05,branch_code,C05,subbranch_code_C05.660,subbranch_code,C05.660,1,D000168
branch_code_C05,branch_code,C05,subbranch_code_C10.228,subbranch_code,C10.228,1,D000172
branch_code_C05,branch_code,C05,subbranch_code_C16.131,subbranch_code,C16.131,1,D000168
branch_code_C05,branch_code,C05,subbranch_code_C16.320,subbranch_code,C16.320,1,D000130
branch_code_C05,branch_code,C05,subbranch_code_C19.700,subbranch_code,C19.700,1,D000172
branch_code_C06,branch_code,C06,subbranch_code_C06.405,subbranch_code,C06.405,1,D000126
branch_code_C06,branch_code,C06,subbranch_code_C18.452,subbranch_code,C18.452,1,D000126
branch_code_C07,branch_code,C07,subbranch_code_C01.748,subbranch_code,C01.748,1,D000039
branch_code_C07,branch_code,C07,subbranch_code_C01.830,subbranch_code,C01.830,1,D000039
branch_code_C07,branch_code,C07,subbranch_code_C07.550,subbranch_code,C07.550,1,D000039
branch_code_C07,branch_code,C07,subbranch_code_C08.730,subbranch_code,C08.730,1,D000039
branch_code_C07,branch_code,C07,subbranch_code_C09.775,subbranch_code,C09.775,1,D000039
branch_code_C08,branch_code,C08,subbranch_code_C01.748,subbranch_code,C01.748,1,D000039
branch_code_C08,branch_code,C08,subbranch_code_C01.830,subbranch_code,C01.830,1,D000039
branch_code_C08,branch_code,C08,subbranch_code_C07.550,subbranch_code,C07.550,1,D000039
branch_code_C08,branch_code,C08,subbranch_code_C08.618,subbranch_code,C08.618,1,D000142
branch_code_C08,branch_code,C08,subbranch_code_C08.730,subbranch_code,C08.730,1,D000039
branch_code_C08,branch_code,C08,subbranch_code_C09.775,subbranch_code,C09.775,1,D000039
branch_code_C08,branch_code,C08,subbranch_code_C18.452,subbranch_code,C18.452,1,D000142
branch_code_C09,branch_code,C09,subbranch_code_C01.748,subbranch_code,C01.748,1,D000039
